NAME_OBL,NAME_RAY,NAME_LAT,KOATUU_OBL,KOATUU_RAY,KOATUU,longitude,latitude
Luhanska,Slovianoserbskyi,Kriakivka,4400000000,4424500000,4424584402,38.890,48.769
Luhanska,Slovianoserbskyi,Krymske,4400000000,4424500000,4424583301,38.807,48.748
Donetska,Artemivskyi,Bulavynske,1400000000,1420900000,1412045600,38.342,48.250
Donetska,Artemivskyi,Ridkodub,1400000000,1420900000,1412047609,38.521,48.268
Donetska,Artemivskyi,Savelivka,1400000000,1420900000,1412070509,38.343,48.290
Donetska,Artemivskyi,Komuna,1400000000,1420900000,1420985201,38.375,48.329
Donetska,Artemivskyi,Vesela Dolyna,1400000000,1420900000,1412047601,38.430,48.211
Donetska,Artemivskyi,Olkhovatka,1400000000,1420900000,1412047600,38.392,48.240
Donetska,Artemivskyi,Oleksandrivske,1400000000,1420900000,1412045300,38.284,48.274
Donetska,Artemivskyi,Olenivka,1400000000,1420900000,1412047400,38.257,48.264
Donetska,Artemivskyi,Pryberezhne,1400000000,1420900000,1412047900,38.322,48.256
Donetska,Artemivskyi,Ridkodub,1400000000,1420900000,1425285606,38.524,48.268
Donetska,Vuhledarska,Vuhledar,1400000000,1414800000,1414800000,37.246,47.780
Donetska,Marinskyi,Novoukrainka,1400000000,1423300000,1423385801,37.105,47.835
Luhanska,Slovianoserbskyi,Prychepylivka,4400000000,4424500000,4424583302,38.692,48.757
Luhanska,Slovianoserbskyi,Zholobok,4400000000,4424500000,4424556202,38.699,48.714
Luhanska,Slovianoserbskyi,Trokhizbenka,4400000000,4424500000,4424584401,38.964,48.757
Luhanska,Slovianoserbskyi,Sokilnyky,4400000000,4424500000,4424583303,38.869,48.747
Donetska,Marinskyi,Pavlivka,1400000000,1423300000,1423386301,37.218,47.756
Donetska,Artemivskyi,Krasnyi Pakhar,1400000000,1420900000,1412070507,38.307,48.285
Donetska,Artemivskyi,Vuhlehirsk,1400000000,1420900000,1412070500,38.272,48.313
Donetska,Artemivskyi,Hrozne,1400000000,1420900000,1412070503,38.311,48.294
Donetska,Artemivskyi,Illinka,1400000000,1420900000,1412047605,38.417,48.260
Donetska,Artemivskyi,Kamianka,1400000000,1420900000,1412047607,38.481,48.244
Donetska,Artemivskyi,Kaiutyne,1400000000,1420900000,1412070505,38.235,48.300
Donetska,Artemivskyi,Danylove,1400000000,1420900000,1412047603,38.474,48.223
Luhanska,Krasnodonskyi,Myrne,4400000000,4421400000,4421455700,39.653,48.284
Luhanska,Milovskyi,Milove,4400000000,4422800000,4422855100,40.127,49.376
Luhanska,Troitskyi,Troitske,4400000000,4425400000,4425455100,38.302,49.915
Luhanska,Lutuhynskyi,Uspenka,4400000000,4422200000,4422256800,39.140,48.398
Luhanska,Novoaidarskyi,Muratove,4400000000,4423100000,4423184501,38.738,48.803
Luhanska,Milovskyi,Musiivka,4400000000,4422800000,4422883601,39.851,49.233
Luhanska,Novopskovskyi,Pisky,4400000000,4423300000,4423385901,38.993,49.448
Luhanska,Markivskyi,Bondarivka,4400000000,4422500000,4422581101,39.641,49.404
Luhanska,Kreminskyi,Borovenky,4400000000,4421600000,4421680401,38.563,49.051
